feedback_id,lang,raw_text,expected_clean_text,defect_hint
FB-000001,ar,  لووووسمحت ألطريق المؤدي إلى حي الياسمين يحتاج صيانة عاجلة 😡 <br> 0551234567 1023456789   ,لووووسمحت ألطريق المؤدي إلى حي الياسمين يحتاج صيانة عاجلة 😡   <PHONE> <NATIONAL_ID>,mixed defects
FB-000002,ar,إنارة الممر لا تعمل عند حي النرجس,إنارة الممر لا تعمل عند حي النرجس,mixed defects
FB-000003,ar,الحاوية ممتلئة في حي العليا ولم تُفرغ منذ 3 أيام,الحاوية ممتلئة في حي العليا ولم تُفرغ منذ 3 أيام,mixed defects
FB-000004,en,There is a water leak at Jeddah; reference BYN-2026-000003,There is a water leak at Jeddah; reference BYN-2026-000003,mixed defects
FB-000005,en,I paid the bill but it still shows as unpaid,I paid the bill but it still shows as unpaid,mixed defects
FB-000006,ar,تطبيق خدمات المياه يتوقف عند تسجيل الدخول,تطبيق خدمات المياه يتوقف عند تسجيل الدخول,mixed defects
FB-000007,ar,طلب ترخيص بوابة المرافق متوقف عند المراجعة منذ 7 أيام,طلب ترخيص بوابة المرافق متوقف عند المراجعة منذ 7 أيام,mixed defects
FB-000008,ar,  ألعاب الأطفال في حديقة حي العليا تحتاج صيانة   ,ألعاب الأطفال في حديقة حي العليا تحتاج صيانة,mixed defects
FB-000009,en,Damaged asphalt near Jeddah is making driving unsafe,Damaged asphalt near Jeddah is making driving unsafe,mixed defects
FB-000010,en,The walkway lights are not working at Dammam,The walkway lights are not working at Dammam,mixed defects
FB-000011,ar,تراكمت النفايات قرب حي العليا وتسبب رائحة قوية,تراكمت النفايات قرب حي العليا وتسبب رائحة قوية,mixed defects
FB-000012,ar,ضغط المياه منخفض جداً في الرياض,ضغط المياه منخفض جداً في الرياض,mixed defects
FB-000013,ar,تم احتساب رسوم غير صحيحة على الفاتورة رقم BYN-2025-000012,تم احتساب رسوم غير صحيحة على الفاتورة رقم BYN-2025-000012,mixed defects
FB-000014,en,An error appears when I upload a document in Maintenance Appointments — very frustrating 😡,An error appears when I upload a document in Maintenance Appointments — very frustrating 😡,mixed defects
FB-000015,en,  My My Licence licence request has been under review for 15 days   ,My My Licence licence request has been under review for 15 days,mixed defects
FB-000016,ar,الري متوقف في حديقة حي الياسمين,الري متوقف في حديقة حي الياسمين,mixed defects
FB-000017,ar,حفرة في الطريق أمام حي الياسمين منذ 17 أيام,حفرة في الطريق أمام حي الياسمين منذ 17 أيام,mixed defects
FB-000018,ar,الشارع مظلم قرب حي الياسمين ونحتاج إصلاح الإنارة,الشارع مظلم قرب حي الياسمين ونحتاج إصلاح الإنارة,mixed defects
FB-000019,en,The waste bin at Dammam has not been emptied for 19 days,The waste bin at Dammam has not been emptied for 19 days,mixed defects
FB-000020,en,THERE IS A WATER LEAK AT DAMMAM; REFERENCE BYN-2026-000019,THERE IS A WATER LEAK AT DAMMAM; REFERENCE BYN-2026-000019,mixed defects
FB-000021,ar,دفعت الفاتورة لكن الحالة ما زالت غير مسددة,دفعت الفاتورة لكن الحالة ما زالت غير مسددة,mixed defects
