case_id,lang,topic,case_text,resolution,status,closed_at,synthetic
CASE-000001,ar,roads,الأسفلت متضرر قرب جدة والقيادة أصبحت خطرة,تمت معاينة الموقع وجدولة أعمال الصيانة,resolved,2025-02-01T00:00,True
CASE-000002,ar,lighting,الشارع مظلم قرب حي النرجس ونحتاج إصلاح الإنارة,تم استبدال وحدة الإنارة واختبارها,resolved,2025-02-01T01:00,True
CASE-000003,ar,waste,نحتاج حاوية إضافية في الدمام,تم تفريغ الحاوية وتعديل جدول الجمع,resolved,2025-02-01T02:00,True
CASE-000004,en,water,Water has been unavailable in Jeddah since this morning <br>,The leak was repaired and network pressure was restored,resolved,2025-02-01T03:00,True
CASE-000005,en,billing,Incorrect fees were charged on invoice BYN-2025-050004,The invoice was reviewed and the fees were corrected,resolved,2025-02-01T04:00,True
CASE-000006,ar,digital_services,لا يصل رمز التحقق إلى هاتفي لخدمة رخصتي,عولج الخلل التقني وأعيد إرسال رمز التحقق,resolved,2025-02-01T05:00,True
CASE-000007,ar,licensing,لم تتغير حالة الطلب رقم BYN-2025-050006,تمت مراجعة المستندات وتحديث حالة الطلب,resolved,2025-02-01T06:00,True
CASE-000008,ar,parks,الري متوقف في حديقة الدمام,تم تحويل الملاحظة إلى فريق الحدائق وإصلاح العطل,resolved,2025-02-01T07:00,True
CASE-000009,en,roads,THE ROAD LEADING TO AL YASMIN NEEDS URGENT MAINTENANCE,The case was assigned to the roads team and the pothole was repaired,resolved,2025-02-01T08:00,True
CASE-000010,en,lighting,The street is dark near Al Yasmin and the lighting needs repair,The maintenance team repaired the wiring and restored service,resolved,2025-02-01T09:00,True
CASE-000011,ar,waste,نحتاج حاوية إضافية في الدمام,أضيفت نقطة جمع جديدة للمنطقة,resolved,2025-02-01T10:00,True
CASE-000012,ar,water,انقطاع المياه مستمر في طريق الملك فهد منذ الصباح 😡,تم إصلاح التسرب وإعادة ضغط الشبكة,resolved,2025-02-01T11:00,True
CASE-000013,ar,billing,دفعت الفاتورة لكن الحالة ما زالت غير مسددة,تمت مطابقة الدفعة وتحديث حالة الحساب,resolved,2025-02-01T12:00,True
CASE-000014,en,digital_services,The Maintenance Appointments app crashes during sign-in,The account was refreshed and sign-in was restored,resolved,2025-02-01T13:00,True
CASE-000015,en,licensing,Request BYN-2025-050014 has not changed status,The licensing team contacted the applicant for the missing document,resolved,2025-02-01T14:00,True
CASE-000016,ar,parks,الممر في حديقة طريق الملك فهد غير مناسب للكراسي المتحركة,تم تحويل الملاحظة إلى فريق الحدائق وإصلاح العطل,resolved,2025-02-01T15:00,True
CASE-000017,ar,roads,الطريق المؤدي إلى حي النرجس يحتاج صيانة عاجلة,تم تحويل البلاغ إلى فريق الطرق وإغلاق الحفرة,resolved,2025-02-01T16:00,True
CASE-000018,ar,lighting,عمود الإنارة معطل في طريق الملك فهد منذ أسبوعين,تم استبدال وحدة الإنارة واختبارها,resolved,2025-02-01T17:00,True
CASE-000019,en,waste,We need an additional waste container at Dammam,A new collection point was added for the area,resolved,2025-02-01T18:00,True
CASE-000020,en,water,Water pressure is very low in Al Olaya,The fault was fixed and water service was gradually restored,resolved,2025-02-01T19:00,True
CASE-000021,ar,billing,الرسوم في خدمة رخصتي غير واضحة <NATIONAL_ID>,تمت مراجعة الفاتورة وتصحيح الرسوم,resolved,2025-02-01T20:00,True
CASE-000022,ar,digital_services,لا يصل رمز التحقق إلى هاتفي لخدمة مواعيد الصيانة,عولج الخلل التقني وأعيد إرسال رمز التحقق,resolved,2025-02-01T21:00,True
CASE-000023,ar,licensing,أحتاج توضيح المستندات المطلوبة لترخيص خدمات المياه,تمت مراجعة المستندات وتحديث حالة الطلب,resolved,2025-02-01T22:00,True
CASE-000024,en,parks,The playground equipment at Tahlia Street needs maintenance,The site was maintained and the affected area was reopened,resolved,2025-02-01T23:00,True
CASE-000025,en,roads,The road leading to Riyadh needs urgent maintenance — very frustrating 😡 <PHONE>,The case was assigned to the roads team and the pothole was repaired,resolved,2025-02-02T00:00,True
CASE-000026,ar,lighting,لووووسمحت إنارة الممر لا تعمل عند الرياض,تم استبدال وحدة الإنارة واختبارها,resolved,2025-02-02T01:00,True
CASE-000027,ar,waste,نحتاج حاوية إضافية في حي الياسمين,أضيفت نقطة جمع جديدة للمنطقة,resolved,2025-02-02T02:00,True
CASE-000028,ar,water,أنقطاع المياه مستمر في حي النرجس منذ الصباح,تم إصلاح التسرب وإعادة ضغط الشبكة,resolved,2025-02-02T03:00,True
CASE-000029,en,billing,Incorrect fees were charged on invoice BYN-2025-050028,The invoice was reviewed and the fees were corrected,resolved,2025-02-02T04:00,True
CASE-000030,en,digital_services,The verification code for My Licence never reaches my phone,The technical issue was fixed and the verification code was resent,resolved,2025-02-02T05:00,True
CASE-000031,ar,licensing,طلب ترخيص مواعيد الصيانة متوقف عند المراجعة منذ 9 أيام,تمت مراجعة المستندات وتحديث حالة الطلب,resolved,2025-02-02T06:00,True
CASE-000032,ar,parks,الري متوقف في حديقة الرياض,تم تحويل الملاحظة إلى فريق الحدائق وإصلاح العطل,resolved,2025-02-02T07:00,True
CASE-000033,ar,roads,الأسفلت متضرر قرب حي النرجس والقيادة أصبحت خطرة,تم تحويل البلاغ إلى فريق الطرق وإغلاق الحفرة,resolved,2025-02-02T08:00,True
CASE-000034,en,lighting,The street is dark near Tahlia Street and the lighting needs repair,The maintenance team repaired the wiring and restored service,resolved,2025-02-02T09:00,True
CASE-000035,en,waste,The waste bin at Al Yasmin has not been emptied for 13 days <br>,The container was emptied and the collection schedule was updated,resolved,2025-02-02T10:00,True
CASE-000036,ar,water,يوجد تسرب مياه في طريق الملك فهد والبلاغ رقم BYN-2026-050035,عولج العطل وأعيدت المياه تدريجياً,resolved,2025-02-02T11:00,True
CASE-000037,ar,billing,دفعت الفاتورة لكن الحالة ما زالت غير مسددة,تمت مطابقة الدفعة وتحديث حالة الحساب,resolved,2025-02-02T12:00,True
CASE-000038,ar,digital_services,ظهرت رسالة خطأ عند رفع المستند في بلدي 😡,عولج الخلل التقني وأعيد إرسال رمز التحقق,resolved,2025-02-02T13:00,True
CASE-000039,en,licensing,My Facilities Portal licence request has been under review for 17 days,The licensing team contacted the applicant for the missing document,resolved,2025-02-02T14:00,True
CASE-000040,en,parks,The path at Al Olaya is not wheelchair accessible,The issue was assigned to the parks team and repaired,resolved,2025-02-02T15:00,True
CASE-000041,ar,roads,الأسفلت متضرر قرب جدة والقيادة أصبحت خطرة,تمت معاينة الموقع وجدولة أعمال الصيانة,resolved,2025-02-02T16:00,True
CASE-000042,ar,lighting,عمود الإنارة معطل في شارع التحلية منذ أسبوعين,أصلح فريق الصيانة التوصيلات وأعاد الخدمة,resolved,2025-02-02T17:00,True
CASE-000043,ar,waste,نحتاج حاوية إضافية في الدمام,تم تفريغ الحاوية وتعديل جدول الجمع,resolved,2025-02-02T18:00,True
CASE-000044,en,water,There is a water leak at Jeddah; reference BYN-2026-050043,The fault was fixed and water service was gradually restored,resolved,2025-02-02T19:00,True
CASE-000045,en,billing,The fees for My Licence are unclear,The payment was matched and the account status was updated,resolved,2025-02-02T20:00,True
CASE-000046,ar,digital_services,لا يصل رمز التحقق إلى هاتفي لخدمة مواعيد الصيانة,عولج الخلل التقني وأعيد إرسال رمز التحقق,resolved,2025-02-02T21:00,True
CASE-000047,ar,licensing,طلب ترخيص رخصتي متوقف عند ألمراجعة منذ 4 أيام,تمت مراجعة المستندات وتحديث حالة الطلب,resolved,2025-02-02T22:00,True
CASE-000048,ar,parks,الري متوقف في حديقة الدمام,تمت صيانة الموقع وإعادة فتح الجزء المتضرر,resolved,2025-02-02T23:00,True
CASE-000049,en,roads,Damaged asphalt near Tahlia Street is making driving unsafe,The case was assigned to the roads team and the pothole was repaired,resolved,2025-02-03T00:00,True
