feedback_id,created_at,citizen_group_id,lang,dialect_region,topic,sentiment,channel,city,text,split,synthetic
FB-000001,2025-01-01T00:00,CG-00000,ar,Gulf,roads,negative,web,جدة,لووووسمحت ألطريق المؤدي إلى حي الياسمين يحتاج صيانة عاجلة 😡   <PHONE> <NATIONAL_ID>,train,True
FB-000002,2025-01-01T03:00,CG-00001,ar,Gulf,lighting,negative,mobile,الدمام,إنارة الممر لا تعمل عند حي النرجس,train,True
FB-000003,2025-01-01T06:00,CG-00002,ar,Gulf,waste,negative,call_centre,حي النرجس,الحاوية ممتلئة في حي العليا ولم تُفرغ منذ 3 أيام,train,True
FB-000004,2025-01-01T09:00,CG-00003,en,NA,water,neutral,chat,Al Narjis,There is a water leak at Jeddah; reference BYN-2026-000003,train,True
FB-000005,2025-01-01T12:00,CG-00004,en,NA,billing,positive,web,Al Yasmin,I paid the bill but it still shows as unpaid,train,True
FB-000006,2025-01-01T15:00,CG-00005,ar,Gulf,digital_services,negative,mobile,شارع التحلية,تطبيق خدمات المياه يتوقف عند تسجيل الدخول,train,True
FB-000007,2025-01-01T18:00,CG-00006,ar,MSA,licensing,negative,call_centre,الرياض,طلب ترخيص بوابة المرافق متوقف عند المراجعة منذ 7 أيام,train,True
FB-000008,2025-01-01T21:00,CG-00007,ar,MSA,parks,negative,chat,حي الياسمين,ألعاب الأطفال في حديقة حي العليا تحتاج صيانة,validation,True
FB-000009,2025-01-02T00:00,CG-00008,en,NA,roads,neutral,web,Dammam,Damaged asphalt near Jeddah is making driving unsafe,validation,True
FB-000010,2025-01-02T03:00,CG-00009,en,NA,lighting,positive,mobile,Tahlia Street,The walkway lights are not working at Dammam,test,True
FB-000011,2025-01-02T06:00,CG-00010,ar,Gulf,waste,negative,call_centre,الرياض,تراكمت النفايات قرب حي العليا وتسبب رائحة قوية,train,True
FB-000012,2025-01-02T09:00,CG-00011,ar,Gulf,water,negative,chat,جدة,ضغط المياه منخفض جداً في الرياض,train,True
FB-000013,2025-01-02T12:00,CG-00012,ar,Gulf,billing,negative,web,الرياض,تم احتساب رسوم غير صحيحة على الفاتورة رقم BYN-2025-000012,train,True
FB-000014,2025-01-02T15:00,CG-00013,en,NA,digital_services,neutral,mobile,Al Yasmin,An error appears when I upload a document in Maintenance Appointments — very frustrating 😡,train,True
FB-000015,2025-01-02T18:00,CG-00014,en,NA,licensing,positive,call_centre,Riyadh,My My Licence licence request has been under review for 15 days,train,True
FB-000016,2025-01-02T21:00,CG-00015,ar,Gulf,parks,negative,chat,جدة,الري متوقف في حديقة حي الياسمين,train,True
FB-000017,2025-01-03T00:00,CG-00016,ar,MSA,roads,negative,web,حي النرجس,حفرة في الطريق أمام حي الياسمين منذ 17 أيام,train,True
FB-000018,2025-01-03T03:00,CG-00017,ar,MSA,lighting,negative,mobile,الرياض,الشارع مظلم قرب حي الياسمين ونحتاج إصلاح الإنارة,validation,True
FB-000019,2025-01-03T06:00,CG-00018,en,NA,waste,neutral,call_centre,Al Olaya,The waste bin at Dammam has not been emptied for 19 days,validation,True
